BI,BS,CE,CH,CM,GC,GR,MA,ME,PH,BC,CO,BP,TCV,IN,ODY,AASG,EL,PO,CRPPhb,MX,BM,DIA,AI
399.0976946380346,543.0213958317585,1176.4359765148818,3861.2351568576228,1422.0112817423937,1784.246634483383,766.2148807613844,2050.9520598536747,1734.973343831616,3620.3431686302256,798.2886349991765,668.5140656469266,585.4900244907205,757.7515830666184,1585.4742502206238,241.9180245441236,1434.5303579597514,1841.8122249158166,54.71840365285383,1186.7089128946673,2893.9743565572708,2378.2926118410096,87.56898160445677,3246.2375025318056
159.8516499389892,192.40122009419525,486.3871600316089,1628.4744682189473,557.2222927389098,781.5531422367442,319.25545306521406,1554.9258503429926,985.6072244340866,1508.6032009370815,547.4505174925398,350.66258901980615,275.9838187600425,585.284434630458,727.4326470798766,65.67482122289114,528.5566837762277,639.0685121505011,9.267993938054596,548.1314219934659,1081.973126284019,899.6015339375273,13.33857749768246,1314.9230351843569
177.37860758746592,239.86505077079676,523.7546941500032,1720.95596905021,631.2830828080276,796.9324489756493,341.2686282107316,954.6740449346876,788.20000370636,1612.520047311444,368.1756533217819,301.9890387328075,262.65433453034865,353.35066484863626,710.087367434327,105.68314519503974,634.8676318442447,812.791311024564,23.575853618288896,531.715534345816,1281.6961885331675,1053.9236066609926,37.64228687583567,1443.6738466060544
-115.70639740589132,-203.55304007834474,-313.1670134343131,-968.8963846728368,-434.9464306874261,-394.3456391447852,-199.42577313367107,753.2154198360049,31.188765002064308,-942.0312405602986,187.00581920794363,-41.4752747876603,-93.52892798276045,298.1249045689112,-289.8679781512762,-127.51092549075288,-500.4674037101156,-715.2389714726612,-39.1074309056721,-210.24018991775895,-980.8069682819319,-786.8739523373661,-65.33029888116867,-914.1295468283544
297.4954624745603,404.8371206610767,876.900540008901,2878.0536653117583,1060.0240540445902,1329.8485141654367,571.1214514786041,1527.059922722923,1292.5854211428725,2698.5458044211696,594.5071154890455,498.1216689996579,436.3339426128384,564.1661042398827,1181.6183332542014,180.40496612303053,1069.4373778286088,1373.1607049855772,40.81861833911752,884.4228555965915,2157.416556397329,1772.9589751692743,65.32811079582113,2419.7864563593303
-25.59750698406111,-64.6587557729437,-57.408952246456494,-150.27678066874148,-105.87315385669496,-34.92938763386036,-34.45358824086022,740.1599144296756,234.20866994456435,-162.61830852532086,219.42202685274827,55.64553621141377,11.738071069243174,286.2925012480699,8.119412718749974,-52.62331708846386,-146.70384492943882,-235.36111723487076,-18.54218161202938,10.428837006250431,-277.3107857318193,-215.50293218221657,-31.44893087324977,-190.72397886840716
351.70336913006844,464.55068239964567,1045.1951389545518,3448.350252073692,1246.26628817918,1609.6512542444639,682.1140068462514,2216.1608694809015,1690.9485459190405,3223.030073298383,830.4014313029107,635.3304130765531,539.0783823733069,824.8077107684858,1448.692318151174,195.7896575777476,1238.5278242925488,1568.1178083612392,41.171096954692935,1086.363642991419,2507.298797544925,2066.3297544641396,65.05595001264977,2868.917651027569
62.912485389937395,69.1095212187623,195.4222440501628,662.5049395970017,216.05250806842676,325.2069806492203,128.9027189629152,805.1339146330694,464.4604471998073,609.1714087322277,275.4180210818997,159.8371648498396,119.53721912588836,304.5588357018994,310.6211269413532,17.623962059922587,195.90142056907283,225.5392318903117,0.3165078389126756,234.90568243264858,405.5171874193034,340.10865075205726,-0.47433222606057635,521.4018554006134
217.17942378902967,283.3925390155754,647.5119909684278,2140.7127453384924,767.8716172468287,1003.2126634299894,422.9177364122632,1469.8582685615654,1084.3460445669218,1998.3459469485902,544.2406451783407,403.7743858222361,338.61385877240144,548.265923653453,907.3425984265682,116.58614127755848,758.4390885459117,954.6926163903846,23.67549738038698,680.9017655781977,1537.6175840437927,1268.6570552587127,37.16895735292284,1773.6219627976188
523.4867065592365,713.0288918047586,1542.6458117089721,5062.203121368231,1865.5920468513732,2338.3357617146453,1004.652802182625,2668.0186217655973,2266.938140275947,4746.935733116184,1040.221800037467,874.3718914737223,766.7224646475441,985.4094951194445,2076.8404616936427,318.26213455875546,1883.030274185008,2418.8410780633467,72.15498133770409,1554.375509545858,3798.2821138652607,3121.144322461212,115.51867982221344,4257.553793228271
