FloorArea m^2,specElec kWh/m^2,k_th kWh/m^2/K,k_sun,specQ_people kWh/m^2
4496.0,0.010502765522676679,0.005291918549901331,0.09578297987976234,0.002262474885844749
10267.0,0.00390109198553863,0.003162382799151347,0.06342555087428137,0.002262474885844749
16655.0,0.008229027442497419,0.004210309981626395,0.07403677403321007,0.002262474885844749
28986.0,0.01858078943479879,0.007931265956073201,0.13639906255617973,0.002262474885844749
18663.0,0.00828594755770275,0.004544885616444273,0.08394479185873335,0.002262474885844749
26586.0,0.008493672812312038,0.00399673289320044,0.06623074948197699,0.002262474885844749
9997.0,0.009292787836350905,0.004567243486043724,0.07967063125940155,0.002262474885844749
14018.0,0.0450445806468005,0.008579889335253273,0.025913585809221915,0.002262474885844749
17151.0,0.020753086538080105,0.005983494012433607,0.06639703418102566,0.002262474885844749
23581.0,0.02146409664618543,0.009142021245868718,0.15907802435549118,0.002262474885844749
17480.0,0.010472477351807152,0.0026902545569513826,0.016708946429381876,0.002262474885844749
11901.0,0.009051582902937056,0.003333730139249591,0.043296046766185925,0.002262474885844749
10442.0,0.007554575218274635,0.003335815744917072,0.05072680234068848,0.002262474885844749
6095.0,0.03872616224841831,0.007288530997479695,0.017685451626081792,0.002262474885844749
24073.0,0.008959762230066198,0.003919102914823288,0.06157307133894948,0.002262474885844749
4092.0,0.00227110923642077,0.003546341195138067,0.0831391007177513,0.002262474885844749
18389.0,0.007647597916264715,0.004657791065845457,0.0905243881745619,0.002262474885844749
22127.0,0.0074656719109879,0.004973998484563807,0.10104851339946237,0.002262474885844749
692.0,0.0,0.004760513717834675,0.13128862945559353,0.002262474885844749
10831.0,0.016955706792906713,0.006513766085568819,0.10123241585024083,0.002262474885844749
25868.0,0.012499391007242249,0.006675333654688819,0.1280832341741392,0.002262474885844749
19697.0,0.013977286715660057,0.007202684549599806,0.13686836906395672,0.002262474885844749
847.0,0.0,0.00622588575756295,0.17591057240379857,0.002262474885844749
17674.0,0.02517762076532719,0.010941223687906992,0.19558999061657267,0.002262474885844749
